AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
16002;Pekingese X;2008-03-01;M/N;08-171437DA-TU;2008-02-25;20052;Bono;200;;Tan & White;;10;;BROUGHT-IN;Sold;;Amy2 Haines
16008;Wheaton Terrier;;F/S;Susy;2008-03-04;20048;Molly;200;;Cream;;;;BROUGHT-IN;Redeemed;;Susy Jakoncic
16009;Pitbull;2008-03-01;M/N;25083 - skj;2008-02-24;20079;Chatter (aka Floyd);200;;Dark Brown;;40lbs;;HOLDING STRAY;Redeemed;5;Bill Stevenson
16015;Husky;;F;22742 - skj;2008-03-05;20048;Lovegirl;200;;Black & White;;45 lbs;;COMPLAINT;Redeemed;22;Lori Fitzgerald
16016;Boxer X;;M;08 167618;2008-03-05;20007;Duke;200;;Brindle;;70 lbs;;HOLDING STRAY;Redeemed;;Karen Sinclair
16020;Jack Russel Terrier;;M/N;;2008-03-07;20085;Bigfoot;200;;Black & White;;30 lbs;;SPCA;Redeemed;20;Deb Thomas
16021;Long Haired Chihuahua;;M;25067 - TU;2008-03-07;20001;Taco;200;;Caramel Blond;;4 lbs;;HOLDING STRAY;Redeemed;20;Deb Thomas
16022;Shih Tzu X;;M/N;25066-TU;2008-03-09;20085;Carter;200;;White & Brown & Tan;;10 lbs;;BROUGHT-IN;Redeemed;4;Rachel Blyth
16028;Rabbit;;F;;2008-03-13;20000;Bugs Bunnie;200;;White;;3 lbs.;;SPCA;Sold;;
16029;Pitbull;;M/N;25068 Jn12;2008-03-13;20064;Jesus;200;;Tan;;65lbs;;POLICE-EMERGENCY;Redeemed;21;Guy Palanuik
16035;Cocker Spaniel;;M/N;08-171784;2008-03-16;20052;Boxter;200;;Tan;;15kg;;HOLDING STRAY;Redeemed;2;Brad Martin
